slug,voice,text,en,post,dialect
mo-lazem-come,male,"مو لازم تيجي","You don't have to come",ability-and-intent,shami
kunt-go-if-time,male,"كنت روح لو في وقت","I would go if there were time",ability-and-intent,shami
law-fini-traveled,male,"لو فيني، كنت سافرت","If I could, I would've traveled",ability-and-intent,shami
fini-come-if-nothing,male,"فيني أجي بكرا، إذا ما صار شي.","I can come tomorrow, if nothing comes up.",ability-and-intent,shami
baqdar-help-afternoon,male,"بقدر ساعدك بعد الظهر.","I can help you after noon.",ability-and-intent,shami
mish-fini-two-places,male,"مش فيني أكون بمكانين بنفس الوقت.","I can't be in two places at the same time.",ability-and-intent,shami
bidi-talk-important,male,"بدي إحكي معك عن شي مهم.","I want to talk to you about something important.",ability-and-intent,shami
kan-bidi-come-couldnt,male,"كان بدي أجي، بس ما قدرت.","I was going to come, but I couldn't.",ability-and-intent,shami
nawi-travel-next-week,male,"ناوي سافر الأسبوع الجاي.","I'm planning to travel next week.",ability-and-intent,shami
lazem-go-now-late,male,"لازم روح هلّق، رح تأخر.","I have to go now, you'll be late.",ability-and-intent,shami
mafrud-be-there-nine,male,"مفروض نكون هناك الساعة تسعة.","We're supposed to be there at nine.",ability-and-intent,shami
mo-lazem-come-not-up,male,"مو لازم تيجي إذا مش فيك.","You don't have to come if you're not up for it.",ability-and-intent,shami
law-fini-traveled-with-you,male,"لو فيني، كنت سافرت معك.","If I could, I would have traveled with you.",ability-and-intent,shami
maabi,male,معبّي,"mind is full / mentally overloaded",notebook-lm,shami
bzhaq,male,بزهَق,"get bored easily — esp. with repetition",notebook-lm,shami
ufut-bi-iqaa,male,أُفوت بإيقاع,"getting into a rhythm (sleep / work)",notebook-lm,shami
hal-fatra,male,هالفترة,"lately / these days",notebook-lm,shami
mushtaq,male,مشتاق,"longing for / missing (a hobby)",notebook-lm,shami
nhawwes,male,نحوّس,"hunting for / trying to find",notebook-lm,shami
khabsa,male,خبصة,"a mess / a muddle — a chaotic situation",notebook-lm,shami
byiitim,male,بِيِعْتِم,"(light or mood) turns dim / gloomy",notebook-lm,shami
lammaht,male,لمّحت,"I caught a glimpse / glanced at",notebook-lm,shami
suraan-ma,male,سرعان ما,"quickly / soon after",notebook-lm,shami
mishaghib,male,مِشاغِب,"a troublemaker — often for kids",notebook-lm,shami
bil-noss,male,بالنصّ,"in the center / in the middle of it",notebook-lm,shami
muakhkharan,male,مؤخّرًا,recently,notebook-lm,shami
ajjelnah,male,أجّلناه,"we postponed it (a meeting / interview)",notebook-lm,shami
qaddam-imtihan,male,قدّم امتحان,"to sit for / take an exam",notebook-lm,shami
yismahuli,male,"يسمحولي / يخلّوني","to allow / let me (do something)",notebook-lm,shami
murattab,male,مُرتّب,"organized / tidy",notebook-lm,shami
btawassal-maa,male,بتواصل مع,"I'm in contact with",notebook-lm,shami
saar-maai,male,صار معي,"something happened to me / I had…",notebook-lm,shami
baajibni,male,بَعجبني,"I like to / it pleases me",notebook-lm,shami
shu-rayek,male,شو رأيك,"what do you think?",notebook-lm,shami
mafrud,male,مفروض,"supposed to / expected to",notebook-lm,shami
law-fini,male,لو فيني,"if I could (I would have…)",notebook-lm,shami
karmaal,male,كرمال,"for the sake of / for someone",notebook-lm,shami
ghaniyye,male,غَنِّيّة,song,music-1,shami
narqod,male,نَرْقُد,"I sleep; I go to sleep",tunisian-daily-2,tunisian
nidabdib,male,نِضَبْضِب,"to pack up; tidy up; get things in order",todos,shami
tajriba,male,تَجْرِبة,"experience; trial",notes-from-djerba,both
faaq,male,فَاق,"to wake up; to notice / realize",daily-routine,both
